id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193449|2022-07-30T19:56:26.172899|admins|через телефон|0|0
193448|2022-07-30T19:56:19.754463|admins|через телефон|5|0
193447|2022-07-30T19:55:31.357491|admins|через телефон|2|0
193446|2022-07-30T19:54:42.632077|admins|через телефон|1|0
193445|2022-07-30T19:54:10.927306|admins|через телефон|0|0
193444|2022-07-30T19:53:58.486224|admins|через телефон|0|0
193443|2022-07-30T19:53:20.296281|admins|через телефон|5|0
193442|2022-07-30T19:52:23.478185|admins|через телефон|0|0
193441|2022-07-30T19:50:12.449613|admins|через телефон|5|0
193440|2022-07-30T19:50:02.407848|admins|через телефон|2|0
193439|2022-07-30T19:50:02.252355|admins|через телефон|5|0
193438|2022-07-30T19:49:09.030966|admins|через телефон|0|0
193437|2022-07-30T19:46:34.423313|admins|через телефон|5|0
193436|2022-07-30T19:46:06.212990|admins|через телефон|4|0
193435|2022-07-30T19:45:01.926513|admins|через телефон|1|0
193434|2022-07-30T19:43:06.090564|admins|через телефон|1|0
193433|2022-07-30T19:42:25.991539|admins|через телефон|4|0
193432|2022-07-30T19:42:21.203480|admins|через телефон|5|0
193431|2022-07-30T19:40:59.299648|admins|через телефон|2|0
193430|2022-07-30T19:39:58.421317|admins|через телефон|5|0
193429|2022-07-30T19:39:06.957073|admins|через телефон|5|0
193428|2022-07-30T19:39:05.793875|admins|через телефон|4|0
193427|2022-07-30T19:38:16.611709|admins|через телефон|0|0
193426|2022-07-30T19:37:07.595739|admins|через телефон|0|0
193425|2022-07-30T19:36:46.598690|admins|через телефон|4|0
193424|2022-07-30T19:36:42.428721|admins|через телефон|2|0
193423|2022-07-30T19:34:26.043465|admins|через телефон|4|0
193422|2022-07-30T19:33:50.172032|admins|через телефон|0|0
193421|2022-07-30T19:30:05.531640|admins|через телефон|5|0
193420|2022-07-30T19:28:59.563857|android|через приложение|0|0
193419|2022-07-30T19:27:38.092977|admins|через телефон|4|0
193418|2022-07-30T19:25:50.592529|admins|через телефон|0|0
193417|2022-07-30T19:24:50.192021|admins|через телефон|5|0
193416|2022-07-30T19:23:54.624595|admins|через телефон|2|0
193415|2022-07-30T19:22:40.457693|admins|через телефон|0|0
193414|2022-07-30T19:19:57.923282|admins|через телефон|1|0
193413|2022-07-30T19:19:41.260370|admins|через телефон|3|0
193412|2022-07-30T19:18:29.005517|admins|через телефон|1|0
193411|2022-07-30T19:17:05.285950|admins|через телефон|5|0
193410|2022-07-30T19:16:25.881803|admins|через телефон|2|0
193409|2022-07-30T19:15:40.009279|admins|через телефон|5|0
193408|2022-07-30T19:15:29.448494|admins|через телефон|3|0
193407|2022-07-30T19:13:57.771325|admins|через телефон|5|0
193406|2022-07-30T19:13:24.431193|admins|через телефон|3|0
193405|2022-07-30T19:13:03.742668|admins|через телефон|2|0
193404|2022-07-30T19:12:13.184265|admins|через телефон|1|0
193403|2022-07-30T19:12:11.821397|admins|через телефон|5|0
193402|2022-07-30T19:11:05.544403|admins|через телефон|4|0
193401|2022-07-30T19:09:06.479882|admins|через телефон|5|0
193400|2022-07-30T19:08:42.710326|admins|через телефон|0|0
193399|2022-07-30T19:07:53.387900|admins|через телефон|1|0
193398|2022-07-30T19:06:38.768926|admins|через телефон|1|0
193397|2022-07-30T19:04:24.661388|admins|через телефон|2|0
193396|2022-07-30T19:04:20.248368|admins|через телефон|5|0
193395|2022-07-30T19:02:11.436363|admins|через телефон|2|0
193394|2022-07-30T19:01:08.723238|admins|через телефон|0|0
193393|2022-07-30T19:00:23.435874|admins|через телефон|1|0
193392|2022-07-30T18:55:47.220414|admins|через телефон|1|0
193391|2022-07-30T18:55:03.024753|admins|через телефон|1|0
193390|2022-07-30T18:52:03.317676|admins|через телефон|1|0
193389|2022-07-30T18:47:13.122429|admins|через телефон|3|0
193388|2022-07-30T18:44:48.433045|admins|через телефон|0|0
193387|2022-07-30T18:42:50.648378|admins|через телефон|0|0
193386|2022-07-30T18:39:40.503107|admins|через телефон|1|0
193385|2022-07-30T18:34:57.519924|admins|через телефон|1|0
193384|2022-07-30T18:30:46.409917|admins|через телефон|1|0
193383|2022-07-30T18:23:06.284778|admins|через телефон|2|0
193382|2022-07-30T17:40:29.336252|android|через телефон|4|0
193381|2022-07-30T16:42:57.960193|android|через телефон|1|0
193379|2022-07-30T09:06:41.290277|admins|через телефон|1|0
193378|2022-07-30T08:47:06.194497|admins|через телефон|5|0
193377|2022-07-30T08:07:18.041381|admins|через телефон|3|0
193376|2022-07-30T08:01:19.482643|admins|через телефон|0|0
193375|2022-07-30T07:26:41.764891|admins|через телефон|1|0
193374|2022-07-30T07:25:21.086341|admins|через телефон|5|0
193373|2022-07-30T07:19:38.306202|admins|через телефон|2|0
193372|2022-07-30T07:14:07.770994|admins|через телефон|1|0
193371|2022-07-30T07:11:35.688890|admins|через телефон|1|0
193370|2022-07-30T07:09:04.380521|admins|через телефон|0|0
193369|2022-07-30T06:55:32.403394|admins|через телефон|4|0
193368|2022-07-30T06:50:52.742305|admins|через телефон|1|0
193367|2022-07-30T06:35:16.312552|admins|через телефон|0|0
193366|2022-07-30T06:35:03.948507|admins|через телефон|1|0
193365|2022-07-30T06:34:12.793538|admins|через телефон|0|0
